date,stock_code,margin_balance,margin_buy,margin_repay,short_volume
2023-05-15,688123,330224009.0,10888046.0,15552231.0,107613.0
2023-05-15,688126,779472123.0,28034992.0,31312043.0,23565825.0
2023-05-15,688160,53021184.0,6448310.0,1396977.0,0.0
2023-05-15,688256,1150833013.0,264378144.0,214992417.0,5470150.0
2023-05-15,688320,72079317.0,2085971.0,3056116.0,1046944.0
2023-05-15,688396,725402630.0,10877016.0,20026442.0,2684999.0
2023-05-15,688498,105451272.0,22223609.0,11410496.0,612020.0
2023-05-15,688525,191009741.0,23394855.0,38063897.0,1490432.0
2023-05-15,688676,84511205.0,3529185.0,3566261.0,2155117.0
2023-05-15,688728,343667388.0,5133165.0,8928502.0,2315873.0
2023-05-15,688766,192164601.0,10711188.0,11206742.0,264944.0
2023-05-15,688981,3770926868.0,242419928.0,283093044.0,7585472.0
2023-06-15,600183,684842782.0,7499116.0,10296717.0,817681.0
2023-06-15,600406,647257850.0,15839723.0,32409591.0,661392.0
2023-06-15,600584,1879356263.0,80924527.0,88383886.0,2079055.0
2023-06-15,600703,4728717031.0,108840354.0,107974631.0,9263580.0
2023-06-15,600745,2855565641.0,68866911.0,60627947.0,16686822.0
2023-06-15,600900,7242003073.0,69489458.0,100761527.0,20444110.0
2023-06-15,601138,1305127094.0,289815392.0,258862167.0,13330740.0
2023-06-15,601985,1187888726.0,41032567.0,36292959.0,1935000.0
2023-06-15,603019,3990196751.0,588495636.0,561599262.0,4036754.0
2023-06-15,603083,1372488711.0,638988756.0,592687330.0,19800.0
2023-06-15,603501,2188521038.0,30661360.0,106518370.0,572874.0
2023-06-15,603986,2747582084.0,110488043.0,136776907.0,796078.0
2023-06-15,605358,940255230.0,30582395.0,27235959.0,3199678.0
2023-06-15,688008,1036730503.0,64789802.0,62384739.0,29583135.0
2023-06-15,688012,1097615377.0,63356636.0,62572554.0,5959830.0
2023-06-15,688017,450009250.0,134303903.0,112756470.0,2169522.0
2023-06-15,688019,150479757.0,15604232.0,11260656.0,523044.0
2023-06-15,688041,962886898.0,174436140.0,175389633.0,9701945.0
2023-06-15,688110,293674810.0,39724356.0,27961621.0,3206721.0
2023-06-15,688123,300837106.0,17462020.0,16268802.0,84716.0
2023-06-15,688126,698160289.0,15346432.0,22358396.0,23524102.0
2023-06-15,688160,76942032.0,44812991.0,23635333.0,0.0
2023-06-15,688256,1455396114.0,303180836.0,463879130.0,5806090.0
2023-06-15,688320,82554062.0,38075365.0,16769979.0,1306077.0
2023-06-15,688396,708187136.0,8620451.0,16572029.0,2741632.0
2023-06-15,688498,215358890.0,110388056.0,97543550.0,1514101.0
2023-06-15,688525,203881317.0,64995515.0,73093391.0,1582712.0
2023-06-15,688676,68747200.0,3457992.0,5685813.0,1525191.0
2023-06-15,688728,302023863.0,5865833.0,5590561.0,1884986.0
2023-06-15,688766,148346613.0,12324721.0,56270316.0,276122.0
2023-06-15,688981,3265668220.0,246063959.0,233927624.0,6194403.0
2023-08-15,600183,652462028.0,3229406.0,4647271.0,1116019.0
2023-08-15,600406,594964393.0,5158982.0,4939850.0,1092451.0
2023-08-15,600584,1640124346.0,28067052.0,60723438.0,980737.0
2023-08-15,600703,4777320870.0,33803087.0,33849338.0,3001488.0
2023-08-15,600745,2728347161.0,36944197.0,24372315.0,19331155.0
2023-08-15,600900,6461477224.0,24739899.0,34919812.0,15998548.0
2023-08-15,601138,1378955626.0,285976682.0,198561505.0,13223638.0
2023-08-15,601985,975222357.0,24893686.0,25141529.0,2662500.0
2023-08-15,603019,3833124877.0,150142437.0,169569779.0,1705016.0
2023-08-15,603083,893424284.0,93987705.0,100670136.0,19600.0
2023-08-15,603501,1888783146.0,86994408.0,60643201.0,1015054.0
2023-08-15,603986,2599936000.0,142951118.0,139702921.0,796921.0
2023-08-15,605358,859488657.0,15370063.0,19162868.0,3851136.0
2023-08-15,688008,1030011300.0,24186580.0,37233107.0,30471977.0
2023-08-15,688012,954439571.0,29834765.0,29896354.0,5457359.0
2023-08-15,688017,357436086.0,20152873.0,18812921.0,173044.0
2023-08-15,688019,167481437.0,7041424.0,4352463.0,770020.0
2023-08-15,688041,751462691.0,77804223.0,49822265.0,6262070.0
2023-08-15,688110,305510156.0,9992154.0,15546427.0,711824.0
2023-08-15,688123,305557851.0,12829837.0,10709666.0,278059.0
2023-08-15,688126,621276735.0,7381494.0,8600153.0,23264426.0
2023-08-15,688160,94492860.0,14082494.0,15222066.0,900.0
2023-08-15,688256,767382884.0,24263390.0,41198556.0,4841497.0
2023-08-15,688320,109207962.0,5546979.0,7217591.0,1519550.0
2023-08-15,688396,613439452.0,3922438.0,10488710.0,2292781.0
2023-08-15,688498,137070310.0,28380546.0,22044060.0,1062659.0
2023-08-15,688525,158646941.0,6690754.0,8168466.0,1276141.0
2023-08-15,688676,40556081.0,2751412.0,1613095.0,1641211.0
2023-08-15,688728,246122090.0,1085891.0,3630602.0,3110511.0
2023-08-15,688766,148437786.0,3576720.0,2604954.0,117826.0
2023-08-15,688981,3265493833.0,28810678.0,48720483.0,3068860.0
2023-09-15,600183,629683456.0,6639604.0,4880003.0,1355340.0
2023-09-15,600406,583962420.0,15246056.0,13737615.0,1107127.0
2023-09-15,600584,1685133827.0,49170289.0,65961462.0,1475443.0
2023-09-15,600703,5337054615.0,18741686.0,28450914.0,3431100.0
2023-09-15,600745,2726688403.0,52729533.0,37202406.0,17354259.0
2023-09-15,600900,6451632587.0,96034423.0,45024091.0,17066848.0
2023-09-15,601138,1110969966.0,57662496.0,118827060.0,21295636.0
2023-09-15,601985,1001391486.0,91063426.0,25904304.0,2512190.0
2023-09-15,603019,3786884176.0,94834224.0,121011189.0,1622811.0
2023-09-15,603083,820020991.0,46930371.0,46900129.0,21600.0
2023-09-15,603501,1413628641.0,23117337.0,26932114.0,1455554.0
2023-09-15,603986,2591180294.0,147505927.0,161005057.0,851941.0
2023-09-15,605358,805627496.0,21476481.0,17195138.0,2905901.0
2023-09-15,688008,996553551.0,26909102.0,42636793.0,23733612.0
2023-09-15,688012,1174386872.0,95021719.0,73949403.0,5691044.0
2023-09-15,688017,406639851.0,8536479.0,8794704.0,1183099.0
2023-09-15,688019,189222380.0,25071107.0,29986131.0,890747.0
2023-09-15,688041,1471161857.0,62167536.0,57237983.0,5231056.0
2023-09-15,688110,285466028.0,32061214.0,37969895.0,1036742.0
2023-09-15,688123,310650635.0,42977928.0,34585777.0,484736.0
2023-09-15,688126,614950368.0,8990686.0,15152510.0,24399613.0
2023-09-15,688160,115413849.0,8034443.0,12803860.0,3000.0
2023-09-15,688256,766591003.0,52899534.0,55223139.0,5456585.0
2023-09-15,688320,116148369.0,3331736.0,4292179.0,1618074.0
2023-09-15,688396,603775279.0,10487413.0,7731091.0,4009548.0
2023-09-15,688498,144595511.0,13719993.0,18951136.0,876788.0
2023-09-15,688525,190002031.0,22555613.0,19796123.0,1652707.0
2023-09-15,688676,51684886.0,3897971.0,2735968.0,1516523.0
2023-09-15,688728,238350338.0,5480585.0,4254527.0,14196083.0
2023-09-15,688766,158395788.0,10986149.0,14958108.0,65932.0
2023-09-15,688981,3854588550.0,312633022.0,293235651.0,5880035.0
2023-11-15,600183,563615884.0,10988365.0,14653112.0,1210522.0
2023-11-15,600406,567769280.0,10174208.0,20292111.0,554557.0
2023-11-15,600584,1792318722.0,57501869.0,57298193.0,433650.0
2023-11-15,600703,5310680777.0,100725917.0,75891775.0,1863151.0
2023-11-15,600745,2749510659.0,100239248.0,128268286.0,4867677.0
2023-11-15,600900,6684923403.0,30639741.0,95066147.0,6578410.0
2023-11-15,601138,1059284896.0,82447190.0,102797707.0,18354670.0
2023-11-15,601985,1007774321.0,46185863.0,32924412.0,1635700.0
2023-11-15,603019,4045279193.0,260932598.0,223553395.0,1121491.0
2023-11-15,603083,963645522.0,145866083.0,117610585.0,36000.0
2023-11-15,603501,1546344223.0,36147999.0,26500783.0,648024.0
2023-11-15,603986,2436291797.0,182441397.0,144134741.0,1328136.0
2023-11-15,605358,886957767.0,42530307.0,28195668.0,2679581.0
2023-11-15,688008,888551866.0,41678210.0,49216682.0,13024626.0
2023-11-15,688012,1166752359.0,124670273.0,97291617.0,3429991.0
2023-11-15,688017,351897592.0,30153629.0,40308239.0,1548174.0
2023-11-15,688019,329426940.0,28430433.0,28860903.0,1141292.0
2023-11-15,688041,2066425351.0,186601122.0,201471129.0,5499815.0
2023-11-15,688110,461890107.0,69425902.0,39984790.0,2119635.0
2023-11-15,688123,240555246.0,30932983.0,29884145.0,796337.0
2023-11-15,688126,664971814.0,16123310.0,19730311.0,3827187.0
2023-11-15,688160,131399749.0,28284549.0,21586172.0,1700.0
2023-11-15,688256,1261181833.0,421053668.0,327515136.0,3870789.0
2023-11-15,688320,141163570.0,33216115.0,22562426.0,1063994.0
2023-11-15,688396,644570553.0,17021449.0,16125817.0,6057236.0
2023-11-15,688498,272299065.0,45785647.0,55430959.0,500517.0
2023-11-15,688525,191188959.0,57917059.0,50032194.0,1825156.0
2023-11-15,688676,47302868.0,5338757.0,2702118.0,1341064.0
2023-11-15,688728,189959247.0,4691367.0,7522654.0,9983352.0
2023-11-15,688766,159673324.0,14648912.0,20621884.0,83929.0
2023-11-15,688981,3725410053.0,142559839.0,246443890.0,4083464.0
2023-12-15,600183,622337985.0,15938440.0,20961137.0,767000.0
2023-12-15,600406,549618728.0,6754817.0,32309343.0,443088.0
2023-12-15,600584,1753809403.0,17310424.0,22309771.0,505440.0
2023-12-15,600703,5205865133.0,19814943.0,18677596.0,2120625.0
2023-12-15,600745,2872378074.0,33852722.0,38872184.0,4525070.0
2023-12-15,600900,6942286724.0,200730500.0,71657247.0,5700898.0
2023-12-15,601138,1095103918.0,69337789.0,78803772.0,824374.0
2023-12-15,601985,990543737.0,29039823.0,18680946.0,1749500.0
2023-12-15,603019,4054990183.0,189274459.0,194878201.0,1435490.0
2023-12-15,603083,944505386.0,92269465.0,109334200.0,278600.0
2023-12-15,603501,1538708635.0,35014315.0,30454227.0,795129.0
2023-12-15,603986,2621517397.0,58385831.0,71029496.0,994538.0
2023-12-15,605358,980808162.0,13354454.0,11086033.0,1893601.0
2023-12-15,688008,766667519.0,42958178.0,33846498.0,9517477.0
2023-12-15,688012,1154244186.0,42913307.0,36535428.0,1021804.0
