持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2017-03-16,80.7,3.620955315871,303389,24483492.3,0.14,,,
2017-03-17,80.65,-0.061957868649,557689,44977617.85,0.26,254300.0,20717058.1,20494125.55
2017-03-20,81.37,0.892746435214,657724,53519001.88,0.31,100035.0,8094241.9935,8541384.03
2017-03-21,80.1,-1.560771783212,688215,55126021.5,0.32,30491.0,2455223.7439,1607019.62
2017-03-22,78.76,-1.67290886392,688515,54227441.4,0.32,300.0,23685.15,-898580.1
2017-03-23,78.4,-0.457084814627,749715,58777656.0,0.35,61200.0,4820448.6,4550214.6
2017-03-24,77.96,-0.561224489796,779415,60763193.4,0.37,29700.0,2319558.12,1985537.4
2017-03-27,76.45,-1.936890713186,781215,59723886.75,0.37,1800.0,139113.72,-1039306.65
2017-03-28,76.5,0.065402223676,853635,65303077.5,0.4,72420.0,5550906.096,5579190.75
2017-03-29,77.0,0.653594771242,898400,69176800.0,0.42,44765.0,3445418.802,3873722.5
2017-03-30,72.59,-5.727272727273,919184,66723566.56,0.43,20784.0,1530862.1472,-2453233.44
2017-03-31,72.9,0.427056068329,975484,71112783.6,0.46,56300.0,4113435.64,4389217.04
2017-04-05,74.08,1.61865569273,984884,72960206.72,0.46,9400.0,694287.76,1847423.12
2017-04-06,73.82,-0.350971922246,938365,69270104.3,0.44,-46519.0,-3444331.8866,-3690102.42
2017-04-07,73.78,-0.054185857491,938065,69210435.7,0.44,-300.0,-22094.55,-59668.6
2017-04-10,72.39,-1.883979398211,1021477,73944720.03,0.48,83412.0,6054868.7388,4734284.33
2017-04-11,74.08,2.334576598978,1016278,75285874.24,0.48,-5199.0,-381420.9957,1341154.21
2017-04-12,73.0,-1.45788336933,975359,71201207.0,0.46,-40919.0,-2994628.3717,-4084667.24
2017-04-18,21.99,0.871559633028,2940041,64651501.59,0.46,1964682.0,43435582.5924,-6549705.41
2017-04-19,21.46,-2.410186448386,2959069,63501620.74,0.47,19028.0,407014.6284,-1149880.85
2017-04-20,20.71,-3.494874184529,2876069,59563388.99,0.45,-83000.0,-1716456.6,-3938231.75
2017-04-21,20.05,-3.186866248189,2581269,51754443.45,0.41,-294800.0,-5975153.8,-7808945.54
2017-04-24,19.9,-0.74812967581,2588169,51504563.1,0.41,6900.0,136199.79,-249880.35
2017-04-25,19.3,-3.015075376884,2422411,46752532.3,0.38,-165758.0,-3307966.1028,-4752030.8
2017-04-26,19.7,2.072538860104,2444311,48152926.7,0.38,21900.0,428134.05,1400394.4
2017-04-27,20.81,5.634517766497,2369711,49313685.91,0.37,-74600.0,-1526338.38,1160759.21
2017-04-28,20.93,0.576645843345,2444711,51167801.23,0.38,75000.0,1567567.5,1854115.32
2017-05-04,21.5,1.319509896324,2532497,54448685.5,0.4,87786.0,1886775.7194,3280884.27
2017-05-05,20.87,-2.93023255814,2530212,52805524.44,0.4,-2285.0,-47984.3145,-1643161.06
2017-05-08,20.7,-0.814566363201,2499812,51746108.4,0.39,-30400.0,-635828.16,-1059416.04
2017-05-09,21.05,1.690821256039,2536754,53398671.7,0.4,36942.0,773103.705,1652563.3
2017-05-10,20.65,-1.900237529691,2508454,51799575.1,0.39,-28300.0,-591758.66,-1599096.6
2017-05-11,20.58,-0.338983050847,2539154,52255789.32,0.4,30700.0,622632.84,456214.22
2017-05-12,20.35,-1.1175898931,2526354,51411303.9,0.4,-12800.0,-260398.08,-844485.42
2017-05-15,20.5,0.737100737101,2576154,52811157.0,0.4,49800.0,1023927.84,1399853.1
2017-05-16,22.55,10.0,2489130,56129881.5,0.39,-87024.0,-1877307.8352,3318724.5
2017-05-17,22.01,-2.394678492239,2533530,55762995.3,0.4,44400.0,984237.0,-366886.2
2017-05-18,22.35,1.544752385279,2513417,56174869.95,0.39,-20113.0,-447045.6171,411874.65
2017-05-19,22.1,-1.118568232662,2462317,54417205.7,0.39,-51100.0,-1130265.57,-1757664.25
2017-05-22,21.42,-3.076923076923,2474017,52993444.14,0.39,11700.0,253193.85,-1423761.56
2017-05-23,21.17,-1.167133520075,2597777,54994939.09,0.41,123760.0,2642176.992,2001494.95
2017-05-24,21.55,1.794992914502,2739377,59033574.35,0.43,141600.0,3032887.92,4038635.26
2017-05-25,22.15,2.784222737819,2907997,64412133.55,0.46,168620.0,3693199.55,5378559.2
2017-05-26,22.05,-0.451467268623,2777598,61246035.9,0.44,-130399.0,-2885116.9947,-3166097.65
2017-05-31,21.67,-1.72335600907,2787398,60402914.66,0.44,9800.0,216948.48,-843121.24
2017-06-01,20.87,-3.691739732349,2981887,62231981.69,0.47,194489.0,4147808.5563,1829067.03
2017-06-02,20.84,-0.143747005271,3034987,63249129.08,0.48,53100.0,1104511.86,1017147.39
2017-06-05,20.92,0.383877159309,2928150,61256898.0,0.46,-106837.0,-2249656.0253,-1992231.08
2017-06-06,21.03,0.525812619503,2947299,61981697.97,0.46,19149.0,400045.5888,724799.97
2017-06-07,21.59,2.662862577271,2960599,63919332.41,0.47,13300.0,281499.82,1937634.44
