持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2023-05-22,39.05,1.297016861219,313180,12229679.0,0.36,,,
2023-05-23,38.74,-0.793854033291,390239,15117858.86,0.45,77059.0,3007612.77,2888179.86
2023-05-24,38.51,-0.593701600413,421893,16247099.43,0.49,31654.0,1223427.1,1129240.57
2023-05-25,39.87,3.531550246689,320757,12788581.59,0.37,-101136.0,-4012065.12,-3458517.84
2023-05-29,39.41,-1.004772670183,354032,13952401.12,0.41,33275.0,1315693.5,1163819.53
2023-05-30,39.1,-0.786602385181,447451,17495334.1,0.52,93419.0,3640538.43,3542932.98
2023-05-31,40.53,3.657289002558,383811,15555859.83,0.44,-63640.0,-2558328.0,-1939474.27
2023-06-01,39.58,-2.343942758451,370389,14659996.62,0.43,-13422.0,-532450.74,-895863.21
2023-06-02,38.74,-2.122283981809,413478,16018137.72,0.48,43089.0,1681763.67,1358141.1
2023-06-05,38.63,-0.283944243676,376172,14531524.36,0.43,-37306.0,-1445607.5,-1486613.36
2023-06-06,36.58,-5.306756406938,488430,17866769.4,0.56,112258.0,4184978.24,3335245.04
2023-06-07,36.71,0.355385456534,480857,17652260.47,0.55,-7573.0,-277929.1,-214508.93
2023-06-08,34.6,-5.747752655952,548277,18970384.2,0.63,67420.0,2385993.8,1318123.73
2023-06-09,34.92,0.924855491329,516959,18052208.28,0.6,-31318.0,-1087360.96,-918175.92
2023-06-12,35.55,1.80412371134,567295,20167337.25,0.66,50336.0,1783404.48,2115128.97
2023-06-13,35.66,0.309423347398,548071,19544211.86,0.63,-19224.0,-690526.08,-623125.39
2023-06-14,36.08,1.177790241167,620016,22370177.28,0.72,71945.0,2561961.45,2825965.42
2023-06-15,40.66,12.694013303769,1526462,62065944.92,1.77,906446.0,36167195.4,39695767.64
2023-06-21,47.01,2.686762778506,610741,28710934.41,0.71,-103077.0,-4878634.41,-3967653.63
2023-06-28,43.03,-2.204545454545,980618,42195992.54,1.14,-33565.0,-1432889.85,-2428059.46
2023-06-29,47.44,10.248663722984,1468694,69674843.36,1.7,488076.0,22710176.28,27478850.82
2023-07-05,46.26,-5.263157894737,481774,22286865.24,0.55,-68267.0,-3254970.56,-4571636.79
2023-07-06,47.0,1.599654128837,388633,18265751.0,0.45,-93141.0,-4333850.73,-4021114.24
2023-07-12,42.53,-3.995485327314,311958,13267573.74,0.36,63608.0,2744685.2,2265668.74
2023-07-13,43.2,1.575358570421,265033,11449425.6,0.3,-46925.0,-1989150.75,-1818148.14
2023-07-19,40.95,-1.325301204819,257669,10551545.55,0.29,-19895.0,-819276.1,-967360.45
2023-07-20,40.4,-1.343101343101,206823,8355649.2,0.23,-50846.0,-2083669.08,-2195896.35
2023-07-26,38.42,-3.95,912216,35047338.72,1.05,-11117.0,-431784.28,-1885981.28
2023-07-27,37.13,-3.357626236335,1029082,38209814.66,1.19,116866.0,4364945.1,3162475.94
2023-08-02,37.69,6.408808582722,1716566,64697372.54,1.98,365984.0,13669502.4,16859758.1
2023-08-03,37.58,-0.291854603343,1695227,63706630.66,1.96,-21339.0,-804693.69,-990741.88
2023-08-09,36.25,-1.761517615176,1861793,67489996.25,2.15,68208.0,2484135.36,1306709.75
2023-08-10,36.28,0.08275862069,1774556,64380891.68,2.05,-87237.0,-3170192.58,-3109104.57
2023-08-16,34.21,-2.08929593589,1484368,50780229.28,1.71,-111611.0,-3849463.39,-4983276.98
2023-08-17,36.23,5.90470622625,1445093,52355719.39,1.67,-39275.0,-1404081.25,1575490.11
2023-08-23,34.0,-1.989045834534,998226,33939684.0,1.15,-17353.0,-596943.2,-1290751.51
2023-08-24,34.01,0.029411764706,986110,33537601.1,1.14,-12116.0,-414609.52,-402082.9
2023-08-30,38.54,5.329324952173,1182233,45563259.82,1.36,41309.0,1560654.02,3816850.66
2023-08-31,37.76,-2.023871302543,1320694,49869405.44,1.52,138461.0,5293364.03,4306145.62
