持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2017-03-16,12.75,1.755786113328,2757028,35152107.0,0.25,,,
2017-03-17,12.61,-1.098039215686,2677802,33767083.22,0.25,-79226.0,-1022268.9232,-1385023.78
2017-03-20,12.71,0.793021411578,2698102,34292876.42,0.25,20300.0,257617.15,525793.2
2017-03-21,12.77,0.472069236821,2693702,34398574.54,0.25,-4400.0,-56017.72,105698.12
2017-03-22,12.74,-0.234925606891,2615502,33321495.48,0.24,-78200.0,-995595.48,-1077079.06
2017-03-23,13.12,2.98273155416,2655002,34833626.24,0.24,39500.0,511552.65,1512130.76
2017-03-24,13.2,0.609756097561,2645245,34917234.0,0.24,-9757.0,-130070.567,83607.76
2017-03-27,13.27,0.530303030303,2503045,33215407.15,0.23,-142200.0,-1902010.32,-1701826.85
2017-03-28,13.46,1.431801055011,2551745,34346487.7,0.23,48700.0,656963.0,1131080.55
2017-03-29,13.15,-2.303120356612,2330979,30652373.85,0.21,-220766.0,-2930116.735,-3694113.85
2017-03-30,13.05,-0.760456273764,2245679,29306110.95,0.21,-85300.0,-1114077.71,-1346262.9
2017-03-31,13.27,1.685823754789,2225079,29526798.33,0.2,-20600.0,-272364.96,220687.38
2017-04-05,13.67,3.01431801055,2319787,31711488.29,0.21,94708.0,1287346.9024,2184689.96
2017-04-06,13.61,-0.438917337235,2303387,31349097.07,0.21,-16400.0,-223963.32,-362391.22
2017-04-07,13.57,-0.293901542983,2259187,30657167.59,0.21,-44200.0,-604293.56,-691929.48
2017-04-10,13.13,-3.242446573324,2311287,30347198.31,0.21,52100.0,693169.66,-309969.28
2017-04-11,13.35,1.675552170602,2486997,33201409.95,0.23,175710.0,2332971.954,2854211.64
2017-04-12,13.2,-1.123595505618,2451773,32363403.6,0.23,-35224.0,-466400.984,-838006.35
2017-04-18,13.15,0.0,2642273,34745889.95,0.24,190500.0,2517419.4,2382486.35
2017-04-19,13.1,-0.380228136882,2533173,33184566.3,0.23,-109100.0,-1426809.8,-1561323.65
2017-04-20,13.41,2.36641221374,2622373,35166021.93,0.24,89200.0,1194994.56,1981455.63
2017-04-21,13.38,-0.223713646532,2629273,35179672.74,0.24,6900.0,92682.87,13650.81
2017-04-24,13.35,-0.224215246637,2674773,35708219.55,0.25,45500.0,599726.4,528546.81
2017-04-25,13.54,1.423220973783,2718873,36813540.42,0.25,44100.0,593608.05,1105320.87
2017-04-26,13.75,1.550960118168,2647373,36401378.75,0.24,-71500.0,-981487.65,-412161.67
2017-04-27,13.65,-0.727272727273,2594373,35413191.45,0.24,-53000.0,-721526.1,-988187.3
2017-04-28,13.52,-0.952380952381,2611273,35304410.96,0.24,16900.0,230842.17,-108780.49
2017-05-04,13.49,-1.244509516837,2633530,35526319.7,0.24,22257.0,302368.0221,221908.74
2017-05-05,13.0,-3.632320237213,2626830,34148790.0,0.24,-6700.0,-88604.15,-1377529.7
2017-05-08,12.96,-0.307692307692,2657730,34444180.8,0.24,30900.0,400346.58,295390.8
2017-05-09,13.04,0.617283950617,2597530,33871791.2,0.24,-60200.0,-779024.12,-572389.6
2017-05-10,12.83,-1.610429447853,2602291,33387393.53,0.24,4761.0,61624.9557,-484397.67
2017-05-11,12.5,-2.57209664848,2917691,36471137.5,0.27,315400.0,3938999.06,3083743.97
2017-05-12,12.43,-0.56,2890028,35923048.04,0.27,-27663.0,-345834.5271,-548089.46
2017-05-15,12.7,2.172164119067,2999908,38098831.6,0.28,109880.0,1393135.556,2175783.56
2017-05-16,13.06,2.834645669291,3067638,40063352.28,0.28,67730.0,869883.482,1964520.68
2017-05-17,13.0,-0.459418070444,3096438,40253694.0,0.29,28800.0,379494.72,190341.72
2017-05-18,13.03,0.230769230769,3155938,41121872.14,0.29,59500.0,776968.85,868178.14
2017-05-19,12.94,-0.690713737529,3357238,43442659.72,0.31,201300.0,2602245.36,2320787.58
2017-05-22,12.62,-2.472952086553,3614692,45617413.04,0.33,257454.0,3288022.2702,2174753.32
2017-05-23,12.32,-2.377179080824,3784592,46626173.44,0.35,169900.0,2087952.07,1008760.4
2017-05-24,12.45,1.055194805195,2935282,36544260.9,0.27,-849310.0,-10431225.42,-10081912.54
2017-05-25,12.6,1.204819277108,2848682,35893393.2,0.26,-86600.0,-1083643.12,-650867.7
2017-05-26,12.31,-2.301587301587,2969382,36553092.42,0.27,120700.0,1493396.96,659699.22
