持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2024-03-04,48.87,4.222648752399,451713,22075214.31,0.18,,,
2024-03-05,45.85,-6.179660323307,801385,36743502.25,0.32,349672.0,16408638.3376,14668287.94
2024-03-06,46.4,1.199563794984,450079,20883665.6,0.18,-351306.0,-16237644.3648,-15859836.65
2024-03-07,43.4,-6.465517241379,1192666,51761704.4,0.47,742587.0,33152870.8737,30878038.8
2024-03-08,47.0,8.294930875576,2082797,97891459.0,0.83,890131.0,40486184.3254,46129754.6
2024-03-11,50.8,8.085106382979,1175582,59719565.6,0.47,-907215.0,-44672173.815,-38171893.4
2024-03-12,49.73,-2.106299212598,882043,43863998.39,0.35,-293539.0,-14901448.6272,-15855567.21
2024-03-13,50.3,1.146189422884,467861,23533408.3,0.18,-414182.0,-20920291.4018,-20330590.09
2024-03-14,51.0,1.391650099404,746419,38067369.0,0.3,278558.0,14021105.5068,14533960.7
2024-03-15,51.73,1.43137254902,391371,20245621.83,0.15,-355048.0,-18231182.228,-17821747.17
2024-03-18,52.45,1.391842257877,624860,32773907.0,0.25,233489.0,12216448.0157,12528285.17
2024-03-19,52.09,-0.686367969495,593501,30915467.09,0.23,-31359.0,-1678217.6517,-1858439.91
2024-03-20,54.5,4.626607794202,1191553,64939638.5,0.47,598052.0,31491863.3848,34024171.41
2024-03-21,57.59,5.669724770642,712535,41034890.65,0.28,-479018.0,-28082190.741,-23904747.85
2024-03-22,56.8,-1.371765931585,661649,37581663.2,0.26,-50886.0,-2982403.017,-3453227.45
2024-03-25,52.49,-7.588028169014,1256566,65957149.34,0.5,594917.0,32055674.7442,28375486.14
2024-03-26,52.65,0.304819965708,1279399,67360357.35,0.51,22833.0,1228056.9219,1403208.01
2024-03-27,48.6,-7.692307692308,1196210,58135806.0,0.48,-83189.0,-4134967.4773,-9224551.35
2024-03-28,50.88,4.691358024691,1032964,52557208.32,0.41,-163246.0,-8206817.1842,-5578597.68
2024-04-02,52.49,-2.198621203652,882539,46324472.11,0.35,-150425.0,-8057695.635,-6232736.21
2024-04-03,54.06,2.991045913507,1322272,71482024.32,0.53,439733.0,23740613.0171,25157552.21
2024-04-08,50.65,-6.307806141324,1036929,52520453.85,0.41,-285343.0,-14819944.9939,-18961570.47
2024-04-09,48.75,-3.751233958539,1200539,58526276.25,0.48,163610.0,7850171.41,6005822.4
2024-04-10,44.3,-9.128205128205,1768187,78330684.1,0.71,567648.0,25691918.7744,19804407.85
2024-04-11,44.1,-0.451467268623,1775186,78285702.6,0.71,6999.0,313869.4551,-44981.5
2024-04-12,44.42,0.725623582766,2366454,105117886.68,0.95,591268.0,26507667.8492,26832184.08
2024-04-15,40.99,-7.721746960828,4457744,182722926.56,1.79,2091290.0,86553892.262,77605039.88
2024-04-16,37.43,-8.685045132959,5739415,214826303.45,2.3,1281671.0,49383424.4655,32103376.89
2024-04-17,44.92,20.010686615015,6419504,288364119.68,2.58,680089.0,29627533.2138,73537816.23
2024-04-18,46.39,3.272484416741,6496171,301357372.69,2.61,76667.0,3585937.9243,12993253.01
2024-04-19,45.0,-2.996335417116,6659032,299656440.0,2.67,162861.0,7336936.9083,-1700932.69
2024-04-22,45.87,1.933333333333,6042200,277155714.0,2.42,-616832.0,-27808328.64,-22500726.0
2024-04-23,45.04,-1.809461521692,5920460,266657518.4,2.38,-121740.0,-5533545.612,-10498195.6
2024-04-24,46.99,4.329484902309,5568261,261652584.39,2.23,-352199.0,-16317485.3297,-5004934.01
2024-04-25,49.2,4.703128325176,5517976,271484419.2,2.21,-50285.0,-2457412.8645,9831834.81
2024-04-26,51.53,4.735772357724,5530848,285004597.44,2.22,12872.0,659959.0248,13520178.24
2024-04-29,52.56,1.99883562973,6161782,323863261.92,2.47,630934.0,33060247.5726,38858664.48
2024-04-30,52.14,-0.799086757991,6720698,350417193.72,2.7,558916.0,29624224.748,26553931.8
2024-05-06,52.75,1.169927119294,7110336,375070224.0,2.85,389638.0,20648047.5702,24653030.28
2024-05-07,51.09,-3.14691943128,8443900,431398851.0,3.39,1333564.0,69790738.376,56328627.0
2024-05-08,51.71,1.213544724995,10256072,530341483.12,4.12,1812172.0,94427933.7072,98942632.12
2024-05-09,53.73,3.906401082963,9908175,532366242.75,3.98,-347897.0,-18482202.0735,2024759.63
2024-05-10,51.04,-5.00651405174,9938432,507257569.28,3.99,30257.0,1566041.806,-25108673.47
2024-05-13,49.48,-3.056426332288,10423366,515748149.68,4.19,484934.0,24367981.9934,8490580.4
2024-05-14,49.2,-0.565885206144,9951743,489625755.6,4.0,-471623.0,-23262380.0143,-26122394.08
2024-05-16,48.73,-1.931978265245,9698146,472590654.58,3.89,-253597.0,-12601564.6061,-17035101.02
2024-05-17,47.92,-1.662220398112,10774325,516305654.0,4.33,1076179.0,50943946.2662,43714999.42
2024-05-20,48.6,1.419031719533,11478158,557838478.8,4.61,703833.0,33869781.2427,41532824.8
2024-05-21,47.27,-2.736625514403,11619594,549258208.38,4.67,141436.0,6811642.6216,-8580270.42
2024-05-22,47.75,1.015443198646,11690614,558226818.5,4.69,71020.0,3360311.3,8968610.12
2024-05-23,46.7,-2.198952879581,11483784,536292712.8,4.61,-206830.0,-9789656.877,-21934105.7
2024-05-24,43.83,-6.145610278373,12951246,567653112.18,5.2,1467462.0,65905772.8668,31360399.38
2024-05-27,47.2,7.688797627196,12726243,600678669.6,5.11,-225003.0,-10158030.4386,33025557.42
2024-05-28,46.7,-1.059322033898,13015596,607828333.2,5.23,289353.0,13839725.0547,7149663.6
2024-05-29,46.75,0.107066381156,12280013,574090607.75,4.93,-735583.0,-34341354.3797,-33737725.45
2024-05-30,48.65,4.064171122995,11684362,568444211.3,4.69,-595651.0,-28791327.1709,-5646396.45
2024-05-31,48.12,-1.089414182939,11639279,560082105.48,4.67,-45083.0,-2183162.3082,-8362105.82
2024-06-03,55.19,14.692435577722,21336879,1177582352.01,8.57,9697600.0,519097981.6,617500246.53
2024-06-04,55.94,1.358941837289,22964262,1284620816.28,9.23,1627383.0,89879061.1836,107038464.27
2024-06-05,55.11,-1.483732570611,24073337,1326681602.07,9.67,1109075.0,62093005.6725,42060785.79
