持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2023-01-12,13.58,0.443786982249,28062017,381082190.86,2.37,-733920,-9971917.824,-8238877.38
2023-01-13,13.93,2.577319587629,28811115,401338831.95,2.43,749098,10421376.4662,20256641.09
2023-01-19,13.22,-0.22641509434,28802870,380773941.4,2.43,28300,372711.0,-489111.1
2023-01-20,13.29,0.52950075643,29295570,389338125.3,2.48,492700,6548180.08,8564183.9
2023-02-02,13.72,1.329394387001,25713939,352795243.08,2.17,215058,2939756.8368,7540394.34
2023-02-03,13.51,-1.530612244898,25577826,345556429.26,2.16,-136113,-1839825.8097,-7238813.82
2023-02-08,12.77,-3.257575757576,24971019,318879912.63,2.11,-189980,-2438906.246,-13245274.17
2023-02-09,12.81,0.313234142522,25295459,324034829.79,2.14,324440,4140470.836,5154917.16
2023-02-10,12.93,0.936768149883,25833981,334033374.33,2.18,538522,6898951.4898,9998544.54
2023-02-13,13.59,5.104408352668,28704861,390099060.99,2.43,2870880,38586923.904,56065686.66
2023-02-14,13.92,2.42825607064,30106175,419077956.0,2.54,1401314,19449117.2688,28978895.01
2023-02-15,13.64,-2.011494252874,30326866,413658452.24,2.56,220691,3033353.6568,-5419503.76
2023-02-16,13.33,-2.272727272727,30007179,399995696.07,2.54,-319687,-4338504.2457,-13662756.17
2023-02-17,13.28,-0.375093773443,30338313,402892796.64,2.56,331134,4449414.4446,2897100.57
2023-02-23,13.69,0.146305779078,29169564,399331331.16,2.47,-1392557,-19057838.8235,-18452862.91
2023-02-24,13.43,-1.899196493791,28141864,377945233.52,2.38,-1027700,-13748159.52,-21386097.64
2023-03-01,13.64,1.867064973861,28000474,381926465.36,2.37,730580,9902865.784,16782584.7
2023-03-02,14.04,2.932551319648,30073436,422231041.44,2.54,2072962,29125323.3962,40304576.08
2023-03-08,12.81,-4.6875,30618046,392217169.26,2.59,-516300,-6630634.38,-26228440.98
2023-03-09,12.59,-1.717408274785,29467863,371000395.17,2.49,-1150183,-14459295.5479,-21216774.09
2023-03-15,12.16,0.3300330033,30168283,366846321.28,2.55,198882,2428528.2138,3617181.16
