持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2019-06-17,45.06,2.923709456373,101700,4582602.0,0.07,,,
2019-06-18,45.15,0.199733688415,189400,8551410.0,0.13,87700.0,3925039.81,3968808.0
2019-06-19,49.67,10.011074197121,163100,8101177.0,0.11,-26300.0,-1298107.51,-450233.0
2019-06-20,51.13,2.939400040266,304900,15589537.0,0.21,141800.0,7260613.76,7488360.0
2019-06-21,51.02,-0.215137883826,393648,20083920.96,0.28,88748.0,4609997.1104,4494383.96
2019-06-24,49.75,-2.489219913759,513648,25553988.0,0.36,120000.0,6007836.0,5470067.04
2019-06-25,49.5,-0.502512562814,349548,17302626.0,0.24,-164100.0,-8171556.42,-8251362.0
2019-06-26,51.83,4.707070707071,490448,25419919.84,0.34,140900.0,7166723.51,8117293.84
2019-06-27,55.8,7.659656569554,372848,20804918.4,0.26,-117600.0,-6421042.32,-4615001.44
2019-07-02,54.0,-3.8974906567,429420,23188680.0,0.3,56572.0,3091789.9156,2383761.6
2019-07-03,53.69,-0.574074074074,391248,21006105.12,0.27,-38172.0,-2043805.224,-2182574.88
2019-07-04,53.09,-0.784900018688,436548,23176333.32,0.31,45300.0,2392637.28,2170228.2
2019-07-05,54.3,2.279148615558,345748,18774116.4,0.24,-90800.0,-4891296.12,-4402216.92
2019-07-08,52.33,-3.627992633517,577770,30234704.1,0.41,232022.0,12172059.7376,11460587.7
2019-07-09,53.3,1.853621249761,729242,38868598.6,0.51,151472.0,8024001.992,8633894.5
2019-07-10,55.18,3.527204502814,1265327,69820743.86,0.9,536085.0,29593661.0805,30952145.26
2019-07-11,54.8,-0.688655309895,1630427,89347399.6,1.16,365100.0,19888165.32,19526655.74
2019-07-12,54.95,0.273722627737,2070562,113777381.9,1.47,440135.0,24230576.101,24429982.3
2019-07-15,58.92,7.22474977252,2211662,130311125.04,1.57,141100.0,8133328.53,16533743.14
2019-07-16,59.49,0.967413441955,2199962,130875739.38,1.56,-11700.0,-701921.61,564614.34
2019-07-17,62.45,4.975626155656,2238262,139779461.9,1.59,38300.0,2404466.34,8903722.52
2019-07-18,60.63,-2.914331465172,2356862,142896543.06,1.67,118600.0,7323526.28,3117081.16
2019-07-19,60.27,-0.593765462642,2397141,144475688.07,1.7,40279.0,2440528.7774,1579145.01
2019-07-22,63.0,4.529616724739,2331262,146869506.0,1.65,-65879.0,-4132833.4223,2393817.93
2019-07-23,64.82,2.888888888889,2224262,144176662.84,1.58,-107000.0,-6811288.3,-2692843.16
2019-07-24,67.22,3.702560937982,2184262,146826091.64,1.55,-40000.0,-2664056.0,2649428.8
2019-07-25,69.8,3.838143409699,2279062,159078527.6,1.62,94800.0,6590192.64,12252435.96
2019-07-26,69.1,-1.002865329513,2308062,159487084.2,1.64,29000.0,2026412.7,408556.6
2019-07-29,69.62,0.752532561505,2310462,160854364.44,1.64,2400.0,167540.88,1367280.24
2019-07-30,68.39,-1.766733697213,2681462,183385186.18,1.9,371000.0,25388643.0,22530821.74
2019-07-31,67.12,-1.856996636935,2537447,170313442.64,1.8,-144015.0,-9709361.6865,-13071743.54
2019-08-01,70.87,5.587008343266,2778650,196922925.5,1.97,241203.0,16610565.1965,26609482.86
2019-08-02,67.9,-4.190771835756,2300050,156173395.0,1.63,-478600.0,-32133730.46,-40749530.5
