date,open,high,low,close,volume,amount
2020-02-04,10.5344430400,12.6427096000,10.5344430400,12.6427096000,345569,6313942.0000
2020-02-05,13.9104254400,13.9104254400,13.9104254400,13.9104254400,41697,841862.0000
2020-02-06,15.3021569600,15.3021569600,15.3021569600,15.3021569600,55082,1223371.0000
2020-02-07,16.8316836800,16.8316836800,16.8316836800,16.8316836800,69179,1690043.0000
2020-02-10,18.5127851200,18.5127851200,18.5127851200,18.5127851200,107419,2886349.0000
2020-02-11,20.3661305600,20.3661305600,20.3661305600,20.3661305600,62575,1849717.0000
2020-02-12,22.4054995200,22.4054995200,22.4054995200,22.4054995200,58638,1906908.0000
2020-02-13,24.6446715200,24.6446715200,24.6446715200,24.6446715200,89926,3216653.0000
2020-02-14,27.1112056000,27.1112056000,27.1112056000,27.1112056000,85657,3370603.0000
2020-02-17,29.8257710400,29.8257710400,29.8257710400,29.8257710400,87829,3802117.0000
2020-02-18,32.8090371200,32.8090371200,32.8090371200,32.8090371200,84006,4000366.0000
2020-02-19,36.0885628800,36.0885628800,36.0885628800,36.0885628800,244635,12813981.0000
2020-02-20,39.6987971200,39.6987971200,39.6987971200,39.6987971200,171770,9897387.0000
2020-02-21,43.6672988800,43.6672988800,43.6672988800,43.6672988800,143148,9072720.0000
2020-02-24,48.0354067200,48.0354067200,48.0354067200,48.0354067200,133462,9304971.0000
2020-02-25,52.8375694400,52.8375694400,52.8375694400,52.8375694400,300618,23054394.0000
2020-02-26,58.1220153600,58.1220153600,58.1220153600,58.1220153600,210506,17758286.0000
2020-02-27,63.9369728000,63.9369728000,63.9369728000,63.9369728000,451415,41891312.0000
2020-02-28,70.3306700800,70.3306700800,70.3306700800,70.3306700800,4254044,434252812.0000
2020-03-02,77.3651150400,77.3651150400,77.3651150400,77.3651150400,984867,110590715.0000
2020-03-03,85.1023155200,85.1023155200,85.1023155200,85.1023155200,568890,70269293.0000
2020-03-04,93.6111691200,93.6111691200,93.6111691200,93.6111691200,18460637,2508246749.0000
