date,open,high,low,close,volume,amount
2020-09-28,7.2860504500,7.2860504500,7.2860504500,7.2860504500,139427,3997372.0900
2020-09-29,8.0154179000,8.0154179000,8.0154179000,8.0154179000,48864,1541170.5600
2020-09-30,8.8159431500,8.8159431500,8.8159431500,8.8159431500,76906,2667869.1400
2020-10-09,9.6977916000,9.6977916000,9.6977916000,9.6977916000,183743,7011632.8800
2020-10-12,10.6685873000,10.6685873000,10.6685873000,10.6685873000,115637,4854441.2600
2020-10-13,11.7359543000,11.7359543000,11.7359543000,11.7359543000,61821,2854893.7800
2020-10-14,12.9100580000,12.9100580000,12.9100580000,12.9100580000,73121,3714546.8000
2020-10-15,14.2010638000,14.2010638000,14.2010638000,14.2010638000,95833,5355148.0400
2020-10-16,15.6216784500,15.6216784500,15.6216784500,15.6216784500,497128,30558458.1600
2020-10-19,17.1846087000,17.1846087000,17.1846087000,17.1846087000,71219,4815828.7800
2020-10-20,18.9025613000,18.9025613000,18.9025613000,18.9025613000,64215,4776311.7000
2020-10-21,20.7933257000,20.7933257000,20.7933257000,20.7933257000,55514,4542155.4800
2020-10-22,22.8721500000,22.8721500000,22.8721500000,22.8721500000,67967,6117030.0000
2020-10-23,25.1593650000,25.1593650000,25.1593650000,25.1593650000,119316,11812284.0000
2020-10-26,27.6753015000,27.6753015000,27.6753015000,27.6753015000,250774,27309288.6000
2020-10-27,30.4428316500,30.4428316500,30.4428316500,30.4428316500,2498487,299293757.7300
2020-10-28,31.8227847000,33.4873689500,28.7172550000,33.2332339500,19215494,2416789993.2600
2020-10-29,32.4149192500,33.2408580000,31.1493269500,32.7325880000,9373403,1189166163.5400
2020-10-30,33.3018504000,33.4162111500,31.2128607000,31.7617923000,7046322,887425805.5000
2020-11-02,31.2586050000,31.5686497000,28.9713900000,31.1823645000,7605737,910350322.8900
2020-11-03,32.5292800000,34.3006009500,31.8685290000,34.3006009500,7852082,1033735552.1400
2020-11-04,35.0706300000,35.0706300000,31.4873265000,31.4924092000,7703081,1002214252.2900
2020-11-05,32.9409787000,34.6411418500,32.7529188000,34.6411418500,6790211,896763936.6500
2020-11-06,34.5623600000,38.1050019000,33.5458200000,38.1050019000,6003302,855902604.2800
2020-11-09,40.6438105500,41.9144855500,40.4074650000,41.9144855500,2687942,440252847.4300
