date,open,high,low,close,volume,amount
2005-06-06,1.3767269800,1.5378104800,1.3531014000,1.5034460000,12611462,83269337.7000
2005-06-07,1.4583426200,1.6108350000,1.4518992800,1.5807660800,9888515,70344913.4100
2005-06-08,1.5464016000,1.7397018000,1.5464016000,1.7397018000,8311996,63674354.0800
2005-06-09,1.7397018000,1.9136719800,1.7182240000,1.9136719800,6736784,57748321.2600
2005-06-10,1.9501842400,2.1048244000,1.8921941800,2.0146176400,8483341,78475999.4100
2005-06-13,1.9866965000,2.1907356000,1.9330020000,2.0618688000,6638644,63627126.6400
2005-06-14,2.0296521000,2.1585189000,1.9458886800,1.9738098200,6278429,59320995.2400
2005-06-15,1.9652187000,2.0103220800,1.9007853000,1.9716620400,4158278,38079346.7100
2005-06-16,1.9437409000,1.9952876200,1.8535341400,1.9759576000,4865377,43556061.7400
2005-06-17,1.9802531600,1.9866965000,1.8921941800,1.8964897400,2961500,26532039.5900
2005-06-20,1.8814552800,2.0854943800,1.7783618400,2.0854943800,6908078,63866229.9500
2005-06-21,2.1305977600,2.2938290400,2.0897899400,2.2830901400,8877747,90055861.8300
2005-06-22,2.2229523000,2.3818880200,2.1499277800,2.2379867600,7159517,75808494.5500
2005-06-23,2.2186567400,2.3110112800,2.1327455400,2.1864400400,5347099,55207281.7600
2005-06-24,2.1585189000,2.2229523000,2.1091199600,2.2079178400,3587487,36381774.4700
2005-06-27,2.2508734400,2.4226958400,2.2508734400,2.3754446800,5993786,65934773.4400
2005-06-28,2.3196024000,2.3539668800,2.2616123400,2.2680556800,3639806,38976581.4600
2005-06-29,2.2573167800,2.3303413000,2.2229523000,2.2272478600,2652467,27974965.8200
2005-06-30,2.2186567400,2.3196024000,2.1971789400,2.2487256600,3280722,34689465.7100
2005-07-01,2.2358389800,2.2659079000,2.1305977600,2.1434844400,2799252,28459673.1800
2005-07-04,2.1048244000,2.1993267200,2.0854943800,2.1950311600,1958534,19740062.6000
2005-07-05,2.1778489200,2.2616123400,2.1370411000,2.2014745000,2609123,26879268.0300
2005-07-06,2.1907356000,2.2551690000,2.1434844400,2.1778489200,2063328,21091624.7700
2005-07-07,2.1692578000,2.1993267200,2.1048244000,2.1628144600,1789340,17913776.5400
2005-07-08,2.1370411000,2.1692578000,2.0532776800,2.0704599200,1640019,15943851.3900
2005-07-11,2.1155633000,2.2336912000,2.1155633000,2.1348933200,3280221,33341826.0500
2005-07-12,2.1263022000,2.3475235400,2.0962332800,2.3475235400,5802105,61753075.7100
2005-07-13,2.3475235400,2.3926269200,2.3088635000,2.3174546200,4634004,50657215.9100
2005-07-14,2.3110112800,2.3518191000,2.2702034600,2.3131590600,2495561,26776818.0300
2005-07-15,2.3131590600,2.3346368600,2.2143611800,2.2401345400,2664047,27998502.8400
2005-07-18,2.2229523000,2.2873857000,2.2208045200,2.2809423600,1949614,20537843.0700
2005-07-19,2.2766468000,2.2981246000,2.2358389800,2.2744990200,1465189,15451812.6800
2005-07-20,2.2873857000,2.3582624400,2.2358389800,2.3131590600,2469310,26472765.8100
2005-07-21,2.3153068400,2.3153068400,2.2358389800,2.2702034600,1697196,17901482.7800
2005-07-22,2.2981246000,2.4205480600,2.2573167800,2.3625580000,5361893,58405459.0100
2005-07-25,2.3346368600,2.3539668800,2.2143611800,2.2293956400,3172058,33626110.3400
2005-07-26,2.1799967000,2.2916812600,2.1477800000,2.2122134000,2984485,31072172.5600
2005-07-27,2.2293956400,2.3045679400,2.2122134000,2.2959768200,2496364,26278218.8900
2005-07-28,2.3153068400,2.3539668800,2.2723512400,2.3131590600,3081712,33233537.9700
2005-07-29,2.3153068400,2.3303413000,2.2508734400,2.2938290400,1420345,15130958.5100
2005-08-01,2.2873857000,2.5129026000,2.2873857000,2.4720947800,5749054,64823823.4100
2005-08-02,2.4806859000,2.5129026000,2.4184002800,2.4806859000,3689766,42325223.2900
2005-08-03,2.4828336800,2.5021637000,2.4549125400,2.4656514400,2904334,33486829.1600
2005-08-04,2.4312869600,2.5773360000,2.3647057800,2.4806859000,3365479,39281612.6300
