date,open,high,low,close,volume,amount
2019-07-22,73.2423096000,83.3815000000,41.3572240000,54.0512235600,36520183,3090029229.0000
2019-07-23,50.0022179200,59.8945990800,49.9621948000,55.5520905600,17441884,1465149109.0000
2019-07-24,56.0323680000,57.3531309600,54.1646224000,56.6994200000,13791161,1154103564.0000
2019-07-25,56.2324836000,59.9613042800,55.8989576000,58.1068997200,16005684,1392563677.0000
2019-07-26,56.6994200000,57.6999980000,52.0300560000,52.4236166800,12001208,981437289.0000
2019-07-29,52.5636976000,55.6988420000,52.5636976000,54.7182755600,9232525,754175976.0000
2019-07-30,54.8316744000,56.3658940000,53.7510501600,55.8856165600,10526392,876202420.0000
2019-07-31,55.9056281200,61.2887377600,55.9056281200,59.0207609600,16798110,1490764789.0000
2019-08-01,57.8000558000,61.0952926800,57.3197783600,60.7350846000,16036874,1423165416.0000
2019-08-02,59.1008072000,68.2394196000,58.7405991200,63.7034660000,21739755,2066907062.0000
2019-08-05,63.3632694800,66.3783445200,60.1080557200,66.2849572400,16109072,1547800241.0000
2019-08-06,64.7040440000,71.0410380000,58.3670500000,60.7017320000,21003763,2109266742.0000
2019-08-07,62.0291654800,62.9363562000,57.1663564000,60.0413505200,12660483,1138874592.0000
2019-08-08,60.0346800000,61.7356626000,57.6999980000,57.6999980000,9782281,874599345.0000
2019-08-09,58.0335240000,58.5671656000,54.3714085200,54.6182177600,9546931,801101422.0000
2019-08-12,54.5315010000,56.3325414000,52.6837669600,55.3186223600,7021680,575536805.0000
2019-08-13,55.2319056000,55.9456512400,54.0445530400,55.8589344800,5595248,463306203.0000
2019-08-14,56.4792928400,56.7394431200,55.3653160000,56.0323680000,5915410,497940268.0000
2019-08-15,54.3447264400,55.4787148400,53.9645068000,55.3719865200,5346393,439399673.0000
2019-08-16,55.3719865200,56.3058593200,54.8316744000,55.0984952000,4841838,402648199.0000
2019-08-19,55.1051657200,55.6187957600,53.7710617200,55.3319634000,6210595,509520901.0000
2019-08-20,55.3653160000,56.6994200000,55.0451310400,56.0657206000,6855238,574183791.0000
2019-08-21,55.8255818800,56.4726223200,53.0306340000,53.0973392000,7440739,606012852.0000
2019-08-22,54.0245414800,57.7066685200,53.5375935200,55.0984952000,11053404,925638495.0000
2019-08-23,54.0445530400,54.5648536000,49.3685185200,50.3290734000,11264204,876105433.0000
2019-08-26,50.2290156000,51.2029115200,49.4152121600,49.9755358400,4700089,353410541.0000
2019-08-27,49.7620792000,50.4558132800,49.4819173600,50.2356861200,3908419,292896992.0000
2019-08-28,50.0289000000,50.3624260000,48.3679405200,48.4279752000,4661423,345094238.0000
