date,open,high,low,close,volume,amount
2022-04-20,43.1933511900,47.7168102400,40.0519339000,41.9613337000,20563290,1962506053.4500
2022-04-21,43.1842588100,50.4627090000,42.5887079200,46.1847442100,12289617,1264254924.1700
2022-04-22,46.8257570000,48.1896140000,43.8161792200,44.6208548500,6816946,691788835.3800
2022-04-25,43.2342669000,44.9981886200,40.6929466900,40.7838704900,6279137,591506083.0600
2022-04-26,41.1430195000,43.8843720700,41.1430195000,41.8976870400,4310771,404029896.4500
2022-04-27,41.8249480000,50.2763152100,41.1475656900,50.2763152100,3984596,400717835.3600
2022-04-28,50.6900185000,53.7814277000,47.7577259500,52.5084945000,4527780,503893618.1700
2022-04-29,52.7267116200,55.0088990000,50.8264042000,54.2269543200,2750298,319478853.2100
2022-05-05,53.4131863100,53.4131863100,48.8624501200,50.3945161500,4954077,555272218.6000
2022-05-06,48.4214696900,53.5541182000,48.2896301800,49.6671257500,2674166,299259682.4600
2022-05-09,49.1715910400,51.6219874500,48.4305620700,50.0535519000,2795245,307787330.0100
2022-05-10,49.0852134300,59.9642461000,48.7442491800,57.2819940000,3864609,469350859.1600
2022-05-11,57.5911349200,59.5005347200,55.2362085000,58.1912320000,3688534,467585002.4300
2022-05-12,57.2410782900,65.9197550000,56.3182017200,58.8731605000,3934615,522658884.7200
2022-05-13,60.3415798700,62.6010363000,58.5276500600,59.8278604000,2445433,323373516.9100
2022-05-16,60.9644079000,63.3193343200,59.3277795000,60.7052750700,2616900,353597077.3700
2022-05-17,61.0462393200,64.1012790000,60.9189460000,62.8147072300,2593453,358040386.2600
2022-05-18,63.5921057200,65.8652007200,61.1598940700,64.1012790000,2269889,318918891.2500
2022-05-19,62.7465143800,65.6015217000,61.8736459000,63.1920410000,2223891,310840924.5200
2022-05-20,62.5055663100,66.3198197200,62.0782244500,65.4742283800,1698441,239059336.0500
2022-05-23,65.5287826600,70.4659450000,65.5015055200,67.8200624200,1636473,244959889.5400
2022-05-24,67.4518210300,68.2746814200,62.7374220000,63.1920410000,2162609,312313739.0800
2022-05-25,63.6421138100,65.7833693000,62.6192210600,63.6421138100,1741835,245568702.1500
2022-05-26,63.6466600000,65.2741960200,60.0097080000,64.8286694000,2233734,307963655.2500
2022-05-27,65.0105170000,66.1379721200,62.7419681900,64.4649742000,1426573,201255232.3700
2022-05-30,63.6466600000,65.5924293200,63.1920410000,64.5558980000,1080454,153044369.7000
2022-05-31,64.4331508700,67.2336039100,64.1012790000,66.6380530200,1155085,167046369.8800
2022-06-01,66.6380530200,72.0934810200,66.3743740000,68.1928500000,1549949,234925604.3700
2022-06-02,68.2883199900,74.2392827000,66.4289282800,73.6028161000,2072763,323037469.4000
2022-06-06,74.1028970000,74.8302874000,69.7885626900,72.1298505400,2242666,356034867.1700
2022-06-07,71.3888215700,73.6755551400,69.9249483900,73.1982051900,1426971,225101993.7400
2022-06-08,73.7755713200,74.5029617200,67.7382310000,70.1704426500,2189665,339951167.0300
2022-06-09,70.1477117000,70.4750373800,66.2698116300,67.2290577200,1445799,215633065.4400
2022-06-10,66.4880287500,70.2522740700,66.3743740000,69.1611884700,1266857,192588798.3300
2022-06-13,68.1928500000,68.9020556400,64.6377294200,67.7836929000,2356948,346379128.1200
2022-06-14,66.4198359000,67.1699572500,64.0103552000,65.5105979000,1986774,285240344.7900
2022-06-15,65.7833693000,70.8296402000,65.4605898100,68.8884170700,1647022,248658828.9300
2022-06-16,68.8884170700,73.1936590000,68.1928500000,70.3750212000,1275170,199663799.5500
2022-06-17,69.1020880000,71.8388943800,68.6383766200,69.9885950500,1029975,158533728.9400
2022-06-20,69.3248513100,70.4204831000,67.5472910200,68.5110833000,1215424,184597921.0100
2022-06-21,68.6383766200,72.0934810200,67.5109215000,70.0113260000,1081226,165851407.5600
2022-06-22,70.4659450000,70.7841783000,66.8790010900,67.5381986400,974303,146214531.4000
2022-06-23,67.5200138800,72.9663495000,67.5154676900,72.7390400000,1295312,203291720.1300
2022-06-24,71.7707015300,73.4618842100,69.8658479200,70.1477117000,1130908,176983405.7500
2022-06-27,71.3433596700,71.6752315400,67.8291548000,68.6520151900,1513800,231225386.0100
2022-06-28,68.9566099200,71.2842592000,67.7382310000,70.5159530900,1339076,203420898.5400
2022-06-29,70.4159369100,70.6796159300,66.8517239500,67.5109215000,1220534,183867849.3700
2022-06-30,66.3743740000,70.7296240200,66.3743740000,70.5114069000,903365,137812046.5000
2022-07-01,70.1295269400,75.0075888100,70.0113260000,71.1024116000,1415108,225540499.2700
2022-07-04,71.3342672900,71.3751830000,66.8289930000,67.9109862200,1444348,216389877.9300
2022-07-05,68.1019262000,68.4428904500,64.5422594300,67.0563025000,1703045,248080210.8600
2022-07-06,66.4698439900,80.0129440000,66.4698439900,77.6943871000,2841500,473405103.5400
2022-07-07,79.1037060000,80.2402535000,76.3759920000,80.2402535000,1289868,222470304.9500
2022-07-08,78.8763965000,83.1861846200,78.6490870000,79.8265502100,1400380,249428556.8700
2022-07-11,79.5719635700,84.0954226200,77.9353351700,83.2862008000,1204902,215250360.5700
2022-07-12,83.2862008000,88.0960698200,80.9403667600,82.2860390000,1641730,303306729.5400
2022-07-13,81.0176519900,82.5860875400,77.7625799500,80.0129440000,1437823,251024124.3800
2022-07-14,78.2035603800,82.5133485000,77.5125395000,80.7312420200,1008292,179022574.2700
2022-07-15,79.7538111700,91.9012308500,79.7538111700,90.9238000000,2316032,447905267.6900
2022-07-18,89.2235249400,90.9238000000,87.4686956000,88.0142384000,1010466,197054676.8800
