date,open,high,low,close,volume,amount
2007-04-20,3.0574488000,3.2758380000,3.0574488000,3.1611836700,51777152,897129335.9300
2007-04-23,3.1575438500,3.1830225900,2.9118560000,3.1138660100,21307958,361069101.7400
2007-04-24,3.1120461000,3.2357999800,3.0938470000,3.1666434000,15872963,275698076.4300
2007-04-25,3.1630035800,3.2285203400,3.0392497000,3.0847474500,12557050,215002020.9200
2007-04-26,3.0756479000,3.0938470000,2.9901121300,3.0155908700,9373339,155609328.8000
2007-04-27,3.0210506000,3.0883872700,2.9154958200,3.0574488000,9471911,155574388.5300
2007-04-30,3.0192306900,3.0447094300,2.9591736600,2.9846524000,4733041,77945003.3300
2007-05-08,3.0210506000,3.0228705100,2.9664533000,3.0064913200,5531408,90974513.1500
2007-05-09,2.9846524000,3.0119510500,2.8900170800,3.0101311400,7813060,126861400.8000
2007-05-10,3.0192306900,3.0756479000,3.0028515000,3.0137709600,7482159,124796088.7600
2007-05-11,3.0101311400,3.0101311400,2.9282351900,2.9609935700,3549048,57773871.9800
2007-05-14,2.9227754600,2.9973917700,2.8954768100,2.9518940200,4177961,67899740.7600
2007-05-15,2.9518940200,2.9518940200,2.9518940200,2.9518940200,0,0.0000
2007-05-16,2.8954768100,2.9482542000,2.8390596000,2.9264152800,4816716,76604033.7200
2007-05-17,2.9300551000,3.0428895200,2.9100360900,2.9901121300,6070431,99626237.1600
2007-05-18,2.9664533000,2.9882922200,2.9173157300,2.9391546500,4392648,71180199.4200
2007-05-21,2.8754578000,2.9755528500,2.8572587000,2.9537139300,4258852,68690446.5900
2007-05-22,2.9537139300,3.0392497000,2.9391546500,3.0028515000,6700168,110283172.4600
2007-05-23,3.0028515000,3.0337899700,2.9700931200,3.0137709600,5299623,87465334.7100
2007-05-24,3.0210506000,3.0283302400,2.9191356400,2.9427944700,5840993,95013347.4600
2007-05-25,2.9391546500,3.0119510500,2.9245953700,3.0101311400,5455497,89606582.4100
2007-05-28,3.0392497000,3.0574488000,3.0083112300,3.0137709600,6271943,104262807.6300
2007-05-29,3.0083112300,3.1084062800,3.0028515000,3.0902071800,9258010,155079724.1800
2007-05-30,2.9391546500,3.0447094300,2.8408795100,2.8754578000,8819515,142439129.1300
2007-05-31,2.9191356400,3.0738279900,2.8390596000,3.0010315900,7897711,129305715.1300
2007-06-01,3.0101311400,3.0720080800,2.9391546500,2.9464342900,6779639,111979838.1000
2007-06-04,2.9664533000,2.9846524000,2.6516088700,2.6516088700,5918192,89269091.5000
2007-06-05,2.5842722000,2.6024713000,2.3859020100,2.5660731000,6240744,84231254.7100
2007-06-06,2.5660731000,2.6570686000,2.5260350800,2.5933717500,4179371,59741395.0500
2007-06-07,2.6315898600,2.7116659000,2.5951916600,2.6934668000,3498324,51196790.4000
2007-06-08,2.6934668000,2.7098459900,2.6443292300,2.6716278800,3754312,55313583.3100
2007-06-11,2.6861871600,2.7826423900,2.6861871600,2.7335048200,3686911,55509467.2400
2007-06-12,2.7608034700,2.7608034700,2.6024713000,2.6898269800,4742059,69844701.2300
2007-06-13,2.7262251800,2.8299600500,2.6916468900,2.8299600500,5556869,84499143.6400
2007-06-14,2.8299600500,2.8299600500,2.7480641000,2.7535238300,3120911,47673848.2100
2007-06-15,2.7298650000,2.9027564500,2.7025663500,2.8845573500,5708036,88246320.8800
2007-06-18,2.9136759100,3.0283302400,2.9136759100,3.0083112300,7508270,122908309.3100
