date,open,high,low,close,volume,amount
2012-08-07,6.0537249000,6.2975040300,6.0025979700,6.0626165400,10403965,860653390.8800
2012-08-08,5.6676795300,5.7795660000,5.4565030800,5.4565030800,3605124,270707802.8000
2012-08-09,5.2127239500,5.3268333300,5.0889819600,5.2519953600,3991153,281034670.4900
2012-08-10,5.1882719400,5.3475804900,5.0541563700,5.0608251000,3204242,224171629.7600
2012-08-13,4.9133720700,5.1704886600,4.9133720700,5.1289943400,2815998,193429261.5000
2012-08-14,5.1141749400,5.1638199300,4.9274505000,5.0504515200,1984320,134431837.8600
2012-08-15,5.0237766000,5.0378550300,4.9059623700,4.9074443100,1443649,96638640.1400
2012-08-16,4.8889200600,4.9785774300,4.8681729000,4.8904020000,1017695,67583938.3700
2012-08-17,4.8755826000,4.9659809400,4.8600222300,4.9200408000,919693,61027025.9500
2012-08-20,4.8904020000,5.0348911500,4.8829923000,4.9607941500,935023,62748678.7700
2012-08-21,4.9422699000,5.0630480100,4.9311553500,5.0393369700,1174457,79496904.2200
2012-08-22,5.0393369700,5.0815722600,4.9311553500,4.9393060200,1083392,73031676.9300
2012-08-23,4.9281914700,4.9845051900,4.8607632000,4.8948478200,1078073,71273262.6500
2012-08-24,4.8926249100,4.9978426500,4.8163050000,4.9111491600,1264300,83724996.7700
2012-08-27,4.8711367800,4.8718777500,4.6251347400,4.6303215300,1368523,86801180.6200
2012-08-28,4.5940140000,4.6192069800,4.5125073000,4.5910501200,933380,57513615.9900
2012-08-29,4.5791946000,5.0015475000,4.5643752000,4.8607632000,1912534,124865111.4400
2012-08-30,4.8370521600,4.8978117000,4.5584474400,4.6443999600,1170300,74446093.8900
2012-08-31,4.6443999600,4.7718468000,4.6110563100,4.7147921100,652316,41485654.0900
2012-09-03,4.6688519700,4.7829613500,4.6406951100,4.7666600100,677570,43159781.4700
2012-09-04,4.7688829200,5.0148849600,4.7429489700,4.8992936400,1434031,95244122.3700
2012-09-05,4.8548354400,4.9489386300,4.7955578400,4.8926249100,843671,55577120.5700
2012-09-06,4.8904020000,4.9630170600,4.8904020000,4.9400469900,613803,40849186.3300
2012-09-07,4.9719087000,5.0674938300,4.9141130400,5.0067342900,1372893,92419258.4200
2012-09-10,5.0067342900,5.0460057000,4.9578302700,4.9859871300,846638,57122919.7600
2012-09-11,4.9948787700,5.2579231200,4.9793184000,5.1778983600,1585974,110006169.1000
2012-09-12,5.1697476900,5.4624308400,5.1653018700,5.3631408600,1660186,119800447.0300
2012-09-13,5.3446166100,5.4676176300,5.1941997000,5.1941997000,1207342,87054713.5100
2012-09-14,5.2831161000,5.3023813200,5.1060242700,5.2645918500,1000120,70422799.8600
2012-09-17,5.2230975300,5.2238385000,5.0267404800,5.1112110600,898117,61910415.8600
2012-09-18,5.0749035300,5.1860490300,5.0749035300,5.1393679200,568657,39465384.1900
2012-09-19,5.1475185900,5.1719706000,5.0408189100,5.1586331400,439764,30385394.7500
2012-09-20,5.1141749400,5.2282843200,5.0689757700,5.1119520300,530405,36886035.5500
2012-09-21,5.0719396500,5.1334401600,4.7807384400,4.8533535000,787281,52619849.0500
2012-09-24,4.7444309100,4.8904020000,4.6681110000,4.8904020000,554254,35752200.3900
2012-09-25,4.8459438000,4.9074443100,4.7570274000,4.7696238900,330436,21578228.2200
2012-09-26,4.7459128500,4.7814794100,4.6510686900,4.7273886000,481612,30609064.2300
2012-09-27,4.7273886000,4.9533844500,4.6984907700,4.9096672200,409995,26861302.0700
2012-09-28,4.8963297600,4.9993245900,4.8615041700,4.9667219100,224901,14985520.2000
2012-10-08,4.9237456500,4.9941378000,4.8948478200,4.9770954900,190351,12704295.2500
2012-10-09,4.9682038500,5.1326991900,4.9667219100,5.1245485200,353840,24166104.5900
2012-10-10,5.0756445000,5.1712296300,5.0600841300,5.1497415000,315769,21815581.2900
2012-10-11,5.1504824700,5.1504824700,4.9815413100,5.0593431600,343360,23451483.6800
2012-10-12,4.5540016200,4.7370212100,4.5532606500,4.5532606500,1812775,112659362.4300
2012-10-15,4.5947549700,4.7162740500,4.5947549700,4.6799665200,896788,56396347.4000
2012-10-16,4.6555145100,4.6614422700,4.4095124700,4.4769407400,744163,45119626.8500
2012-10-17,4.4761997700,4.4769407400,4.2605775000,4.3480119600,697995,40896170.5300
2012-10-18,4.3117044300,4.4013618000,4.2983669700,4.3717230000,498437,29410614.6400
2012-10-19,4.3717230000,4.4124763500,4.3176321900,4.3435661400,434518,25611630.3000
2012-10-22,4.3420608000,4.3586450600,4.2629086500,4.3013539800,304251,17372604.0600
2012-10-23,4.3013539800,4.3978442200,4.3013539800,4.3217073900,361910,20899682.3300
2012-10-24,4.3232150500,4.4702119000,4.3232150500,4.4249821000,608736,35675515.6700
2012-10-25,4.4249821000,4.4249821000,4.2666778000,4.4234744400,457319,26313190.6800
2012-10-26,4.3571374000,4.3571374000,4.2214480000,4.2448167300,339322,19240660.7100
2012-10-29,4.2425552400,4.2425552400,4.1686799000,4.2214480000,167753,9361796.3800
2012-10-30,4.2440629000,4.2968310000,4.2003407600,4.2727084400,288226,16321211.7200
2012-10-31,4.2794929100,4.2953233400,4.2410475800,4.2614009900,169237,9580660.6000
2012-11-01,4.2734622700,4.4174438000,4.2591395000,4.2968310000,446796,25754108.5400
2012-11-02,4.3571374000,4.3571374000,4.3006001500,4.3269842000,308022,17658408.9400
2012-11-05,4.3134152600,4.3714601700,4.2817544000,4.3578912300,315231,18135128.6900
2012-11-06,4.3495991000,4.3495991000,4.1596339400,4.2953233400,459473,25826773.6200
2012-11-07,4.2629086500,4.2666778000,4.1995869300,4.2621548200,170779,9605798.6400
2012-11-08,4.2222018300,4.2418014100,4.1732028800,4.2048637400,172536,9641833.4500
2012-11-09,4.1618954300,4.2176788500,4.1603877700,4.2056175700,144224,8039910.0900
2012-11-12,4.1912948000,4.2357707700,4.1762182000,4.2056175700,140270,7812603.3000
2012-11-13,4.2063714000,4.4242282700,4.1882794800,4.3480914400,765698,44215517.9200
2012-11-14,4.3269842000,4.3631680400,4.2598933300,4.3413069700,320005,18302257.0500
2012-11-15,4.3119076000,4.3262303700,4.1769720300,4.2425552400,281530,15863009.3200
2012-11-16,4.2206941700,4.2395399200,4.1837565000,4.2304939600,119912,6692260.2600
2012-11-19,4.1950639500,4.2659239700,4.1950639500,4.2561241800,140282,7876889.9000
2012-11-20,4.2478320500,4.3722140000,4.2455705600,4.3119076000,314763,18053669.3600
2012-11-21,4.3051231300,4.3254765400,4.2078790600,4.3103999400,195470,11061379.4700
2012-11-22,4.3036154700,4.3714601700,4.2681854600,4.3254765400,226894,13050120.1500
2012-11-23,4.3345225000,4.4769963700,4.2968310000,4.4325204000,445908,26067479.0800
2012-11-26,4.4083978400,4.4475970000,4.3006001500,4.3194459000,325533,18850189.4400
2012-11-27,4.2968310000,4.2968310000,3.9960528300,4.0307290100,478568,26252740.2200
2012-11-28,4.0103756000,4.0480671000,3.8467944900,3.8897628000,254887,13382954.4600
2012-11-29,3.8822245000,3.9184083400,3.6696444400,3.6937670000,471472,23693768.3600
2012-11-30,3.6847210400,3.7518119100,3.6560755000,3.7088436000,180857,8886592.4300
2012-12-03,3.7088436000,3.7510580800,3.5784310100,3.5950152700,174715,8476513.7300
2012-12-04,3.5362165300,3.6025535700,3.4759101300,3.5957691000,280527,13146329.3300
2012-12-05,3.6040612300,3.8060876700,3.5882308000,3.7284431800,304564,15060573.4100
2012-12-06,3.7683961700,3.8030723500,3.6899978500,3.7111050900,213477,10555804.6000
2012-12-07,3.6975361500,3.7849804300,3.6862287000,3.7759344700,292930,14573724.4000
2012-12-10,3.7714114900,3.8882551400,3.7714114900,3.8543327900,273280,13942967.9400
2012-12-11,3.8445330000,3.8694093900,3.8068415000,3.8234257600,243299,12403334.0100
2012-12-12,3.8347332100,4.0216830500,3.7842266000,3.9756994200,462169,23994872.6700
2012-12-13,3.9643919700,3.9711764400,3.8369947000,3.8422715100,339790,17530793.6300
2012-12-14,3.8302102300,4.0465594400,3.8158874600,4.0103756000,526065,27940033.2800
2012-12-17,4.0179139000,4.0390211400,3.9576075000,3.9877607000,530279,28071137.9600
2012-12-18,3.9892683600,4.0028373000,3.9206698300,3.9297157900,558104,29385793.6200
2012-12-19,3.9048394000,3.9191621700,3.8558404500,3.9010702500,554198,28552801.2400
2012-12-20,3.9033317400,4.2124020400,3.8973011000,4.0827432800,1076944,58357143.5600
2012-12-21,4.0631437000,4.4068901800,4.0337443300,4.3722140000,1487773,83490685.7500
2012-12-24,4.3812599600,4.6986223900,4.3556297400,4.6059013000,1345734,81693533.8400
2012-12-25,4.5983630000,4.7340524000,4.5569023500,4.6549002500,1182280,72821927.2200
2012-12-26,4.6518849300,4.9662320400,4.6059013000,4.9029103200,1769744,113836778.0500
2012-12-27,4.9029103200,4.9632167200,4.6827919600,4.6986223900,1242421,79020821.2200
2012-12-28,4.6744998300,4.8833107400,4.6066551300,4.7642056000,997523,62767344.1400
2012-12-31,4.7664670900,4.7868205000,4.6119319400,4.6518849300,800619,49578307.4500
2013-01-04,4.5976091700,4.8071739100,4.4257359300,4.7340524000,1409620,86127156.4300
2013-01-07,4.6737460000,4.8584343500,4.5915785300,4.8245120000,1282564,80904056.7300
2013-01-08,4.8622035000,5.3069632000,4.8245120000,5.1109674000,3650155,252633866.0700
2013-01-09,4.8998950000,4.9360788400,4.5998706600,4.5998706600,2392616,151175128.2700
2013-01-10,4.5011189300,4.6511311000,4.4935806300,4.5614253300,1193380,72422326.9900
2013-01-11,4.5983630000,4.8132045500,4.5983630000,4.6729921700,1587114,99374578.3600
2013-01-14,4.6737460000,4.8132045500,4.5983630000,4.8018971000,1347987,84546641.8600
2013-01-15,4.8252658300,4.9971390700,4.7868205000,4.8237581700,1469016,95336228.0400
2013-01-16,4.8018971000,4.9285405400,4.7038992000,4.8154660400,1181634,75308219.5000
2013-01-17,4.7905896500,4.8961258500,4.7498828300,4.8267734900,858857,55138490.5100
2013-01-18,4.8154660400,4.8546652000,4.6895764300,4.7702362400,762907,48316257.1400
2013-01-21,4.7905896500,4.8177275300,4.7038992000,4.7378215500,694137,43660553.9800
2013-01-22,4.7408368700,4.7453598500,4.2968310000,4.3722140000,1481394,87960990.6500
2013-01-23,4.3609065500,4.4083978400,4.3194459000,4.3985980500,643486,37269650.0100
2013-01-24,4.4001057100,4.4430740200,4.2063714000,4.2538626900,747744,42952265.8600
2013-01-25,4.2274786400,4.4159361400,4.2229556600,4.3382916500,624076,35818165.6700
2013-01-28,4.2968310000,4.3872906000,4.2855235500,4.3646757000,551985,31912550.9700
2013-01-29,4.3654295300,4.3940750700,4.3232150500,4.3691986800,545934,31545427.7700
2013-01-30,4.3797523000,4.3835214500,4.2229556600,4.2516012000,647418,36758156.5700
2013-01-31,4.2237094900,4.2516012000,3.9968066600,4.0706820000,768997,41704160.1000
2013-02-01,4.0729434900,4.2357707700,4.0254522000,4.2063714000,601419,33352847.1500
2013-02-04,4.2048637400,4.3639218700,4.1875256500,4.3367839900,591153,33816566.3800
2013-02-05,4.3194459000,4.3367839900,4.2591395000,4.3081384500,406759,23175475.3800
2013-02-06,4.3103999400,4.4453355100,4.3028616400,4.3420608000,555421,32290913.0300
2013-02-07,4.3435684600,4.3850291100,4.3126614300,4.3495991000,336080,19383758.2600
2013-02-08,4.3616603800,4.4174438000,4.3556297400,4.4061363500,339692,19824716.8300
2013-02-18,4.4551353000,4.5365489400,4.3985980500,4.5063957400,590379,35017793.0800
2013-02-19,4.4852885000,4.5199646800,4.3428146300,4.3533682500,452615,26443335.9500
2013-02-20,4.3556297400,4.5056419100,4.3495991000,4.4671965800,484512,28683862.5800
2013-02-21,4.4498584900,4.5229800000,4.4031210300,4.4423201900,504376,29862517.6100
2013-02-22,4.4498584900,4.5154417000,4.4174438000,4.4543814700,326829,19398489.1400
2013-02-25,4.4543814700,4.5124263800,4.4174438000,4.4822731800,354142,20974274.2300
2013-02-26,4.4928268000,4.5855478900,4.4475970000,4.5003651000,576272,34600556.5700
2013-02-27,4.5214723400,4.5471025600,4.3571374000,4.3737216600,419159,24680232.0000
2013-02-28,4.3744754900,4.5003651000,4.3684448500,4.4219667800,569859,33423993.6500
2013-03-01,4.4212129500,4.4943344600,4.3601527200,4.4830270100,596037,35026161.2900
2013-03-04,4.4702119000,4.4928268000,4.3722140000,4.4001057100,552599,32446104.4800
2013-03-05,4.4001057100,4.4355357200,4.3352763300,4.4136746500,450545,26171172.6000
2013-03-06,4.4219667800,4.6255008800,4.3948289000,4.6247470500,1058272,63679605.4300
2013-03-07,4.6255008800,4.7340524000,4.5063957400,4.5704712900,971871,60020805.9000
2013-03-08,4.5968553400,4.7242526100,4.5682098000,4.5772557600,609986,37568019.0800
2013-03-11,4.5908247000,4.7340524000,4.5893170400,4.6948532400,615015,38289959.2500
2013-03-12,4.7099298400,4.7099298400,4.3872906000,4.4785040300,840039,50372367.9300
2013-03-13,4.4475970000,4.4528738100,4.3639218700,4.4475970000,372432,21782407.5000
2013-03-14,4.4174438000,4.4928268000,4.4023672000,4.4370433800,250987,14815956.8300
2013-03-15,4.4106593300,4.4325204000,4.1460650000,4.3307533500,608288,34845989.3000
2013-03-18,4.3119076000,4.3254765400,4.1897871400,4.2206941700,396700,22233506.0000
2013-03-19,4.2018484200,4.2327554500,4.1309884000,4.1649107500,400889,22178240.0000
2013-03-20,4.1739567100,4.2945695100,4.1468188300,4.2727084400,358223,20157380.0000
2013-03-21,4.2651701400,4.3307533500,4.2448167300,4.3036154700,333320,19032648.0000
2013-03-22,4.3111537700,4.3345225000,4.2742161000,4.3194459000,230100,13136248.0000
2013-03-25,4.3571374000,4.3707063400,4.2742161000,4.3081384500,393840,22407850.0000
2013-03-26,4.3036154700,4.3036154700,4.1694337300,4.2289863000,306895,17165312.0000
2013-03-27,4.2206941700,4.2779852500,4.1588801100,4.2350169400,258931,14474991.0000
2013-03-28,4.1845103300,4.1845103300,4.0329905000,4.0329905000,529559,28682734.0000
2013-03-29,4.0623898700,4.1068658400,4.0329905000,4.0842509400,181530,9801672.0000
2013-04-01,4.0850047700,4.3526144200,4.0834971100,4.3021078100,559649,31634736.0000
2013-04-02,4.2757237600,4.3428146300,4.2176788500,4.3028616400,462225,26325252.0000
2013-04-03,4.2960771700,4.2960771700,4.0344981600,4.2214480000,473574,26124306.0000
2013-04-08,4.1309884000,4.2214480000,4.0005758100,4.1603877700,295498,16054449.0000
2013-04-09,4.1347575500,4.2960771700,4.1347575500,4.2500935400,378778,21292428.0000
2013-04-10,4.2372784300,4.2704469500,4.1837565000,4.2591395000,261165,14647429.0000
2013-04-11,4.2583856700,4.2945695100,4.2252171500,4.2651701400,197540,11150715.0000
2013-04-12,4.2810005700,4.3103999400,4.2297401300,4.2840158900,329249,18654308.0000
2013-04-15,4.2734622700,4.2742161000,4.1837565000,4.2214480000,179004,10033393.0000
2013-04-16,4.1581262800,4.1973254400,4.0578668900,4.1686799000,329868,18007448.0000
2013-04-17,4.1505879800,4.1928024600,4.1490803200,4.1875256500,238816,13217688.0000
2013-04-18,4.1830026700,4.3940750700,4.1121426500,4.3925674100,529715,30412576.0000
2013-04-19,4.3948289000,4.5712251200,4.3744754900,4.5606715000,720810,43145452.0000
2013-04-22,4.5229800000,4.6729921700,4.4641812600,4.5742404400,645942,39254260.0000
2013-04-23,4.5380566000,4.5976091700,4.4920729700,4.5418257500,566959,34053332.0000
2013-04-24,4.5606715000,4.8991411700,4.5478563900,4.8433577500,958046,61036168.0000
2013-04-25,4.8079277400,4.8833107400,4.5606715000,4.5832864000,942366,59266672.0000
2013-04-26,4.5380566000,4.6217317300,4.4475970000,4.4898114800,414379,24997328.0000
2013-05-02,4.4023672000,4.5079034000,4.3691986800,4.5079034000,370788,21853296.0000
2013-05-03,4.5033804200,4.6586694000,4.5033804200,4.6420851400,350553,21435280.0000
2013-05-06,4.6662077000,4.7182219700,4.6285162000,4.7038992000,598512,37270568.0000
2013-05-07,4.7121913300,4.7385753800,4.5983630000,4.6835457900,297490,18459862.0000
2013-05-08,4.6737460000,4.8049124200,4.6586694000,4.7114375000,274624,17195308.0000
2013-05-09,4.7121913300,4.7332985700,4.5606715000,4.6481157800,486361,29832404.0000
2013-05-10,4.6466081200,4.7008838800,4.5983630000,4.6790228100,310031,19149798.0000
2013-05-13,4.6812843000,4.8312964700,4.6737460000,4.7868205000,481066,30472424.0000
2013-05-14,4.7936049700,5.0250307800,4.7792822000,4.9134639400,1116953,72986408.0000
2013-05-15,4.9225099000,5.3062093700,4.9021564900,5.2918866000,1212617,82351096.0000
2013-05-16,5.2632410600,5.8142907900,5.2112267900,5.5263277300,1922483,142489216.0000
